Alisa
Asuka
Azucena
Bryan
Claudio
Clive
DevilJin
Eddy
Feng
Heihachi
Hwoarang
Jack
Jin
Jun
Kazuya
King
Kuma
Lars
Lee
Leo
Leroy
Lidia
Lili
Xiaoyu
Law
Nina
Panda
Paul
Raven
Reina
Dragunov
Shaheen
Steve
Victor
Yoshimitsu
Zafina
